depth_m,GTS_age,d13Ccarb,d18Ocarb
201,430.991,0.11,-4.73
201.15,430.994,0.11,-4.55
201.3,430.998,0.12,-4.57
201.45,431.001,0.03,-4.79
201.6,431.005,-0.16,-4.88
201.75,431.008,-0.22,-4.14
201.9,431.012,-0.12,-5.24
202.05,431.015,0.07,-4.57
202.2,431.019,0.04,-4.67
202.35,431.022,0.14,-4.72
202.5,431.026,-0.2,-4.07
202.65,431.029,-0.01,-5.16
202.8,431.032,-0.25,-4.06
202.95,431.036,0.02,-4.84
203.1,431.039,0.06,-4.92
203.25,431.043,-0.16,-4.07
203.4,431.046,0,-4.96
203.55,431.05,-0.19,-4.02
203.7,431.053,0.02,-4.49
203.85,431.057,-0.01,-4.71
204,431.06,0.04,-4.57
204.15,431.064,0.07,-4.58
204.3,431.067,-0.1,-4.16
204.45,431.071,-0.13,-4.09
204.6,431.074,0.11,-4.17
204.75,431.078,-0.08,-4.07
204.9,431.081,0.03,-4.43
205.05,431.084,0.02,-4.58
205.2,431.088,0.02,-4.62
205.35,431.091,0.12,-4.58
205.5,431.095,0.04,-4.23
205.65,431.098,0.19,-5.12
205.8,431.102,0.03,-4.55
205.95,431.105,0.08,-5.01
206.1,431.109,0.13,-4.88
206.25,431.112,0,-4.75
206.4,431.116,-0.12,-4.09
206.55,431.119,0.07,-4.18
206.7,431.123,0.01,-4.76
206.85,431.126,-0.37,-4
207,431.13,-0.08,-4.05
207.15,431.133,0.28,-4.35
207.3,431.136,-0.13,-3.93
207.45,431.14,-0.39,-4.07
207.6,431.143,0.06,-4.43
207.75,431.147,0.14,-4.5
207.9,431.15,0.09,-4.44
208.05,431.154,0.08,-4.47
208.2,431.157,0.08,-4.32
208.35,431.161,-0.02,-4.16
208.5,431.164,0.04,-4.14
208.65,431.168,0.09,-4.22
208.8,431.171,-0.09,-4.67
208.95,431.175,-0.03,-4.63
209.1,431.178,-0.59,-4.02
209.25,431.182,0.05,-5.1
209.4,431.185,0.06,-4.99
209.55,431.188,-0.01,-4.84
209.7,431.192,-0.04,-4.32
209.85,431.195,0.02,-4.51
210,431.199,0.18,-4.9
210.15,431.202,0.11,-5.01
210.3,431.206,-0.41,-4.1
210.45,431.209,-0.07,-4.76
210.6,431.213,-0.17,-4.77
210.75,431.216,0.2,-4.49
210.9,431.22,0.16,-4.84
211.05,431.223,0.01,-5.26
211.2,431.227,0.16,-5.18
211.35,431.23,0.12,-4.69
211.5,431.234,0.11,-5.1
211.65,431.237,-0.97,-3.91
211.8,431.24,0.03,-4.67
211.95,431.244,-0.13,-4.55
212.1,431.247,-0.03,-5.12
212.25,431.251,0.07,-4.57
212.4,431.254,0.05,-4.82
212.55,431.258,0.24,-4.91
212.7,431.261,0.04,-4.26
212.85,431.265,-0.81,-3.96
213,431.268,0.01,-4.16
213.15,431.272,-0.55,-3.82
213.3,431.275,0.17,-5.12
213.45,431.279,0.28,-4.8
213.6,431.282,0.19,-4.81
213.75,431.286,0.31,-4.51
213.9,431.289,0.31,-4.16
214.05,431.292,0.36,-4.27
214.2,431.296,0.27,-4.53
214.35,431.299,0.24,-4.25
214.5,431.303,0.21,-4.08
214.65,431.306,0.07,-4.46
214.8,431.31,-0.57,-4.02
214.95,431.313,0.2,-4.66
215.1,431.317,0.02,-4.32
215.25,431.32,0.23,-5.35
215.4,431.324,0.11,-4.64
215.55,431.327,0.31,-5.07
215.7,431.331,0.38,-5.01
215.85,431.334,0.22,-4.85
216,431.338,0.17,-4.78
216.15,431.341,0.1,-5
216.3,431.344,0.12,-4.84
216.45,431.348,0.37,-4.88
216.6,431.351,0.17,-4.72
216.75,431.355,0.1,-4.72
216.9,431.358,0.27,-5.01
217.05,431.362,0.46,-5.36
217.2,431.365,-0.25,-3.93
217.35,431.369,0.3,-5.01
217.5,431.372,0.06,-4.74
217.65,431.376,0.2,-4.87
217.8,431.379,-0.15,-3.97
